GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.mapper,AccountApiMapperImpl,78,3,6,0,24,1,6,1,3,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.mapper,SalesApiMapperImpl,78,3,6,0,24,1,6,1,3,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.account.api.model,Financial,204,0,16,0,49,0,26,0,18,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.account.api.model,ErrorResponse,269,0,20,0,62,0,34,0,24,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.account.api.model,FinancialRequest,89,0,8,0,25,0,13,0,9,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.account.api.model,Expedient,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.account.api.model,Account,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api.model,BelongsDocument,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api.model,ClientSecureData,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api.model,Destinations,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api.model,Products,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api.model,ClientGeneral,203,38,18,0,40,17,19,11,10,11
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api.model,ErrorResponse,269,0,20,0,62,0,34,0,24,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.marketing.adapter.out.persistence,OracleMarketingReader,30,6,0,0,2,1,2,1,2,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.persistence,OracleViewReader.ClientViewRecord,9,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.persistence,ViewTarget,3,53,0,0,1,8,1,2,1,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.persistence,OracleViewReader,108,6,4,0,13,1,13,1,11,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.integration.siebel,HttpSiebelAdapter,69,0,0,0,20,0,4,0,4,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.integration.siebel,SiebelRecord,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.domain,SalesUser,25,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.domain,SalesTerritory,25,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.domain,ProductIndicators,24,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.domain,Account,24,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.domain,Expedient,24,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.domain,Financial,24,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.domain,Client,18,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.sales.api.model,SalesTerritory,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.sales.api.model,SalesUser,204,0,16,0,49,0,26,0,18,0
